ID,LIKE_COUNT,MESSAGE
5225319380859539_758756855282523,0,You have not been able to update the click
375288587867782_527366105587609,0,How do you make people beautiful With tricks from 1015 years ago Samtredia is the 7th or 9th city in Georgia how many people know about your innovations 79 months ago I entered the bank and when you told your employee soon the money will be digitized he started laughing ironically These innovations require an organized economically strong educated country and is it true You can only increase the percentage The time will come when you will no longer need the main mass of people That people will understand that you will interest 35 money in 15
1014350911956428_1016681128390073,2,I filled out the application and I hope you will contact me 
1014350911956428_1017833094941543,0,Why are you looking for a new Santa Did the old one get 9 million bucks and break in Lapland
1014350911956428_1014846928573493,0,Irakli is super cut 
1007567052634814_1007574932634026,0,It is very sad that Gilauri was caught it is worth more
998920763499443_999007226824130,0,I automatically closed my account and changed it Its a cool bank
987496337975219_998581296866723,1,I personally prefer your bank to TBS I have been using the Bank of Georgia for 15 years
966612560063597_966672696724250,0,If I lost it together with the phone then D
961471823911004_965859910138862,0,This is not a bank this is an office I go every day I talked to everyone and some criminal used the card an insured card And this office takes me every day and takes more money I had an insured card money for making a new card it still takes up to 2 GEL every day the statement has completely disappeared in the internet bank the transaction made on Saturday still doesnt appear in the statement so I cant tell you anything we dont reimburse you for spending up to 20 GEL How could he spend more than 20 GEL without a PIN code What should I do go out and kill you The bank should provide comfort to the client and not be tied to criminals and commit robberies My card was used twice in this mans Zavedenia before I blocked it
958516947539825_972039932854193,0,And what kind of service
933258160065704_950553168336203,0,Httppromomqnetsgroupgeindekhphp
923633157694871_982209488503904,0,9
914757015249152_914798551911665,17,Nice and unfair video The vast majority of mothers also want to be with their children the most but they spend as much time together as they can I want to encourage all the tsorking parents around me  I know from my own experience that you will miss the days spent with your children the most Thats hot love song 
914757015249152_915734408484746,0,How I like it My heart broke I cant help but add Metro is on the strength of sins Every time
914757015249152_915462608511926,0,Its extraordinary Bravo  3
885009808223873_896142290443958,0,No country no people want war They want warOnly to country leaders and bankers Dont let themway to do it
869114986480022_869131139811740,0,My heart was warmed by how cute they are
825037514221103_825364910855030,5,Was I waiting for this all year D D D I went to TBC and made a deposit D
823301477728040_824014830990038,0,I liked that there is a manta
810664555658399_810676248990563,0,and it cannot perform proper operations I have had money blocked on my account for 15 months and the operators could not remove the block
5184123168312494_1035767837068112,2,Farchaki Bank You are beggars They give me 3500 GEL from 18 and above and no installment of 600 GEL It is interestfree and do these miserable people want to rip you off
5194464363945041_1174510473384112,0,my city 
5194464363945041_685950842733609,0,Congratulations my warm city my eyelids 
5185786008146210_550326556437413,0,I will tell you about the gangs
5178740205517457_5182747658450045,1,When there is freedom then there is an opportunity to change life for the better
5178740205517457_498757165293268,1,I moved to you because of these ads
5159073137484164_5160368297354648,5,We want more such Georgian animations please and we will ask for it
5146464158745062_575779136865436,1,I havent seen such perfection in a long time thanks to the creative team
5146464158745062_390954459304916,0,Its really good interesting May the builders and makers of this be happy Bravo
5146464158745062_1349847415483557,0,Its amazing I really enjoyed it 
802134736511381_805888222802699,0,Im in Ponti at the moment I have a celebration I have to add a drink 
802134736511381_802142549843933,0,I really enjoyed myself D
801677869890401_801681916556663,0,The only thing I waste my time on 
774442202613968_774446555946866,0,Who is hitting what and where did I find out
766737136717808_767037400021115,3,Nanuka you are the coolest girl
766737136717808_767524836639038,0,Such generosity is truly a role model
762316257159896_762317290493126,1,Are you going to change the design 
760099920714863_765502856841236,0,I want to clarify one thing friends and maybe you can help meToday I was filling up the passenger card with the expressway machine I deposited 10 GEL and when I had to fill up the card the program got stuck I tried to perform the same operation two or three times and nothing worked In the meantime the bus arrived I was not late for work They would not return the money to me because no one is obliged to do such a thing Now Im wondering what I did wrong or how can I ask for the money from the person who signed up shouldnt the company be held accountable if the user suffers losses due to the program being stuck
734694516588737_734742546583934,1,Thanks to Great Georgia Bank 3 3 3 3 3 3
725847540806768_725945200797002,0,What the hell is this what the  is done somehow Arudna dodges the hit lol
665779456813577_668224419902414,0,At least 48 GEL is our payment 
665317570193099_665349593523230,1,Chuck it 
665317570193099_665325796858943,1,Wake up your brother
10152148892276832_10152152506126832,1,Is it possible to answer with an ID card in any Georgian bank
10152148892276832_10152149375491832,0, I didnt understand anything Lia could you please explain to me what is the matter
10152148892276832_10152163691406832,0,A robber bank like the Bank of Georgia does not exist anywhere else
5143234765734668_5145355335522611,0,Great May the Lord bless the people working here the selfless servants of the Georgian national ideology Amen
5143234765734668_5145702808821197,0,Good luck to the children of Nijir
5132980980093380_5140477459343732,0,How I loved this picture and I was very interested in this picture Who is Iko and Sanani We cant figure out who is the patriot of Georgia Again it is a simple gesture which heart ached for the future of Georgia
5132980980093380_5133006703424141,0,Its still so beautiful 
5132980980093380_5142981225760022,0,Glory to freedomGlory to the heroes
5132980980093380_5140848505973294,0,Be happy dear love for the motherland has no limits
5132980980093380_5140606872664124,0,Eternal memory to the heroes of April 9 freedom and victory of Georgia
5132980980093380_5142926365765508,0,This photo was a symbol of April 9 Thanks to everyone in Georgia the nation and the monk stood together in those days
5132980980093380_5140655315992613,0,Those of you who stood there and spent the night for freedom you are all heroesFreedom and integration of Georgia
5132980980093380_5141743115883833,0,May the longevity of pure hearts and great people be eternal
5132980980093380_5141158595942285,0,Thanks for the freedom This photo is unforgettable
5125407044184107_413963246908856,0,Where is it territorially Bank of Georgia  Bank of Georgia
5103502706374541_5107233176001494,1,What happens if I use Mobilbank And with this promo code will my friends have access to my account or will a hacker hack me
5067073876684091_307989551522933,0,You lower the interest on loans at 29 percent you give us Raambavia
5056590377732441_5096563177068494,0,I did it to your mothers in 2008 Why didnt you open an account when thousands of Georgians were put in damp houses in Cerovani and you dont help with a single penny you tramps and those who give a shit about foreigners they will tell you that you are Georgian and your family
5037481906309955_5045388428852636,0,Whats wrong with mobile banking Its been a long time without help
5037481906309955_5038283889563090,0,Bank of Georgia you sold for money refuse to open accounts for all Russians and Belarusians otherwise you will lose Georgian customers completely what are you talking about dont cheat Russians in our country dont help them money is not more valuable than the motherland dont open accounts for Russians and Belarusians under any circumstances 
5037481906309955_5037717626286383,12,Update  Im sorry TBC was more populist It opens everything for mixing I will go to Procredit and you two will be the hope of Russian clientsFollow TBC Bank and stick to cheap populism with money collected by customers
5031850406873105_5031884153536397,3,Thats great but two big banks shouldnt operate separately in the market TBC does charities separately Sat The bank is separate in such a case there should be a unity not writing a PR
5031850406873105_5033011993423613,0,Just make an account what
5031850406873105_5032264930164986,0,All Georgians may the Lord strengthen you thank SAK Bank for this great work
641738742550982_811943158863872,0,Dont you want to make an application for your phone
636777599713763_637965566261633,0,Cards written to me and cards sent by me are not visible and who will vote Of course I wont win now  
632896046768585_632915473433309,0,Congratulations3
629171877141002_629252223799634,0,I go to the next line and wait 16 hours I cant understand whats going on
629171877141002_629314157126774,0,A gift for anyone who wants to write to me
629171877141002_629227890468734,0,Already 2 times I lost the accumulated points and I had to hang an extra toy what could be the fault maybe you can answer me 
627581043966752_629911687067021,0,Im in the 10th round
626164830775040_626181230773400,1,Bank of Georgia Since when does my Christmas tree burn tell me what to prepare
623935660997957_624018640989659,0,And how many points should I go up to
623935170998006_624463094278547,0,I think he is doing the same with me
616904771701046_627572253967631,0,Soooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo beautiful
615557815169075_623670541024469,0,I dont like your bank
591531614238362_595146370543553,0,Httpstsstsfacebooktsomlpricetsompanqfrefts
583322781725912_583539648370892,0,In Tsalenjikha it will be a relief for the people if it is 2 or a few whites
583322781725912_583451605046363,0,Its at every step so theres no need to add moreSincerelyYour loyal customer
583322781725912_583414038383453,0,Good 3 I mr
5026924427365703_5027010837357062,0,Proud bog
5026924427365703_5028349453889867,0,Rejoice kindness is contagious only love and mutual support will save us in this world
5026924427365703_5027027627355383,0,My favorite bank is the Bank of Georgia  Bank of Georgia
5015109848547161_5021629521228527,0,Bank of Georgia  Bank of Georgia people dont you make any charity account for Ukraine
5000197020038444_5001421923249287,0,Congratulations 
5000084043383075_5000633413328138,0,HoorayJigariii
4993784647346348_4993985893992890,1,Its time to become a golden girl congratulations
4993384034053076_4993901210668025,0,Congratulations I wish you success
552002124857978_552534324804758,0,Bank of Georgia is happy with Instagram
552002124857978_556115081113349,1,I dont understand how you should like it Even the mothers of these Kravasos
551997164858474_552007964857394,0,I have a question D ask a little rationally D Legal Union Dubai and you dont want such things D D
540035879387936_547432265314964,0,Excuse me can I ask you one question
4956386894419457_4956391464419000,22,Of course The gold medal from the Paris Grand Slam was added to the awards of the Georgian judokahttpfbtsatchautceokkhbt
4956386894419457_4957448510979962,1,We hardly heard anything positive Rejoice and multiply the pride of Georgia 
4952851514772995_4956745967716883,1,Good luck 
4952851514772995_4956160097775470,0,Good luck Georgians 
4952851514772995_4956127744445372,0,Good luck to us
4948941185164028_4948993115158835,1,Where should I download Metaversa
4920507541340726_4962631753794971,0,The bank is very hard for the peasant
521509111240613_521524524572405,0,And in your opinion if the Germans had won the situation would have changed for the better
519751328083058_519977838060407,0,Dont give me too much trouble D
519751328083058_519875614737296,0,He is truly risen I wish success to the Bank of Georgia
596296737065579_4615293891832490,0,Hello how can I pay the installment by mobile phone
499951450052399_499952150052329,2,Diana Nana Danelia if possible write to us territorially which Ekhpres with PAK and when did you encounter a problem 
509330255791832_509333559124835,1,I love this building 
507030039355187_507706835954174,0,Lari will be withdrawn from the dollar account when paying in the terminal right
163049503854029_163061200519526,0,Httptsstsqotubetsomtsatchvcjhikpkhpjnofeatureqotubegdataplaqer
504527302938794_504528312938693,0,Dont fight and both of you will be mother c Nokia with a flashlight
485064344885573_486051181453556,0,It would be great if you took care of nonusers too 
485064344885573_489468554445152,2,You want to create a class of debtors and consumers from people you try to enslave people in every way to steal their money but you yourself are poor and homeless what do you do with this money How much do you spend per day or what good do you bring to the economy whose only goal is to enslave 90 of them
485064344885573_742416889150316,0,Im interested in what this message that I received via SMS means Available Express Points 357000 What should I use these points for
487291984662326_487393684652156,0,Tata Gedevanishvili  it will be debited without any problems only internet banking is limited 
487291984662326_488436084547916,0,Check your inbox
499378390112265_501248826591888,0,Believe and Altsaks share
477228855668639_477236885667836,0,Yes David  It is better to write the question in the inbox 
477228855668639_489319747792883,0,Httptsstskvirispalytragepublits15785rotsabankikarzekakunebshtml
476290319095826_476291812429010,4,httpjobsbogge 
474312629293595_474809932577198,3,Bank of Georgia is my bank
473904049334453_477219542336237,0,Why should I see the text about the vacancy in English Please explain if you can I dont think all of us get lost we live in the world and we have to read and write in Georgian What a disaster Do you want to learn your language
4853726561352158_4856568127734668,3,How I am waiting for this exhibition During this time such good news is happening Thank you
4853726561352158_4854888864569261,1,Beloved creator Unique What is the price of the ticket if it will be by invitation
4853726561352158_4854897091235105,0,The colors and costumes created a completely different drama 
4853726561352158_4879404168784397,0,Such people are born once in a century
4853726561352158_4854703797921101,0,Let the pride of the country be bright 
4834575503267264_4839103092814505,4,The greatest Georgian artistthinker
4834575503267264_4836823743042440,2,It is very nice to have the opportunity to view this wonderful and unique creation Thanks to the creators of this idea 
4834575503267264_4840557372669077,0,My proud people
4814949835229831_4815638255160989,2,cant contact youhowto call you
4809929825731832_4810339459024202,7,There will be no apocalypse if it was a reference to Ermalo you are idiots 
4809929825731832_4812037425521072,15,Inspiration from the movie by Bodie 
4809929825731832_4813137288744419,0,Teplo Nashih Serdets
4809929825731832_4811937112197770,0,Another video masterpiece
473006512757540_473007359424122,1, Zaan got stronger
472537082804483_472548742803317,1,Wow Mar congratulations  
472536539471204_472627112795480,0,Why dont you answer me Find out why it was hit like that Take the video that goes past 115 seconds
410044492413734_410182115733305,0,Thank you very much 3 Its fixed 3
425535160848907_425536074182149,2,At least give me something P
425535160848907_425688874166869,0,Whats going on no one is voting for the video is there a problem
466990776692447_467502116641313,0,Anni the winner of the grand prize will be selected by a special jury Details of the rules can be found here httpdanceboggetsompetithion
466179960106862_466180866773438,0,I congratulate you too
466100860114772_467377189987139,0,Oh except for my video all have been posted
465584616833063_465971973460994,0,Why dont you post a video Its been 12 hours
465146513543540_465222726869252,0,Saba Tsiiliam has no problem 
464674316924093_465143570210501,0,I have the same problem Copyright is protected and we have been hearing all along the rules have not been followed and why are they not being followed
462683777123147_462684233789768,2,Got a special gift for someone  I had a dream last night D
461924117199113_461929130531945,0,Toys exchange for anyone who wants to add me
461924117199113_462045043853687,0,Protest  It makes sense to play
461797240545134_461799737211551,0,When will you post the next one
461797240545134_461818757209649,0,It is written in the rules that it ends on December 30 If I graduate on December 30 and others too
461797240545134_461825567208968,0,Katy has changed me very much   D
461775677213957_461789047212620,0,The first category
461129120611946_461148020610056,0,A new voice and Star of Georgia
320037411431789_320073031428227,0,The real Santa is in Lapland but its still our real Santa Georgian I dont like any other Santa besides this one
460686903989501_460687873989404,4,Why are you giving me all the same letters
460686903989501_460700653988126,1,Questions are not asked toys do not fall and is anything played at all 
460256427365882_460277150697143,1,Httptsstspizzgeimgs112122599tsf02f9e506fpng Do you ever get something like this
460187704039421_461079283950263,0,I also got two M and one N and I wont win anything
460167034041488_460180517373473,0,Add me 
459857607405764_459862304071961,0,What are my classmates
459857607405764_459865087405016,1,Bank of Georgia  Christmas tree doesnt fall from the Christmas tree anymore
459847877406737_459848687406656,0,American Press Card
459781510746707_459781770746681,0,September D
459740777417447_459746594083532,1,How did he get it when I had everything assembled in 10 minutes
459318507459674_459442914113900,0,Well I asked that question exactly 4 times and they never answered me 
458770260847832_458914437500081,0,where is this game
458770260847832_459294254128766,0,I am asking you to enter this application and give me one gift that you will like
4781910201867128_4784840591574089,1,Best of luck and move forward dear
4781910201867128_4784905194900962,0,Good luck to Giorgi and Giorgis students
4781910201867128_4787350791323069,0,Here is the future generation dont stop ahead good luck Giorgi
4781910201867128_4785027641555384,0,We are proud of you  Let it multiply
4758066894251459_4773136902744458,0,I want Zugdidi
4758066894251459_4779000285491453,0,Will they not have edak khashuri
4758066894251459_4767677303290418,0,When will we be able to purchase the card
4758066894251459_4765029073555241,0,Hamak card is obviously missing 
4753675148023967_4787635071294641,0,Is it possible to get a free card in Batumi
4753675148023967_4755991487792333,0,Wow I will change it for sure
4733597056698443_4737784652946350,2,May God bless complete and shine our homeland 
4722961464428669_4723350554389760,0,This is really interesting
4714267825298033_4715367625188053,0,Bank of Georgia  Bank of Georgia A financial gift from a financial organization really belongs to the person making this transaction
453781464680045_453790591345799,4,Wow Im crazy about applications downloaded 5000 times D
451489514909240_455848471140011,0,please tell me
451155188276006_451248888266636,0,airport 
451155188276006_451489054909286,1,SC 111 Khofa D
448815251843333_453896651335193,0,Its a really really cool desire for this new age
448019255256266_448019965256195,0,In relation to other banks SC Banks card is better because at the end of each section there is a Bog S ATM it has the widest network of ATMs as far as I know 
325703574203795_325721787535307,1,Int Bank complains about necessary and timely improvement
325703574203795_328500340590785,0,MGITT Bank
441418862582972_441419519249573,1,to deliver a message
441418862582972_441419669249558,1,I do everything with internet banking Often already with a new mobile bank on Android  I go to the service center only to pick up a new card
441418862582972_441420262582832,1,Let me remember what form the money is in
441047762620082_441048262620032,0,B Of course
440338406024351_440339082690950,0,Maybe the balance of substances
438824669509058_438855939505931,0,Bessssssssss 
438824669509058_440297232695135,1,Does Citramon work Ooohohohohoh D
438824669509058_440298266028365,0,Gogi Gogitidze is not Android  Maga even has its own OS
438388506219341_438559709535554,0,Hey designer hang on to Cesier
419424278115764_419424414782417,1,In making money pokhpokh
419424278115764_419450988113093,1,In the teaching of CFA D
416595458398646_418682474856611,0,Whats stupid the service fee is 40 GEL per month What should be returned to you to compensate for this 
416595458398646_419423154782543,0,Where did they come from and from there in Og Pilial bank dont be offended there are such operators who dont know their job Whenever there is any news there are problems with the operators unfortunately It complicates the situation They work in difficult conditions in banks especially in subways The queues are unbearable people couldnt pay for utilities with devices and from the internet bank They put you in a queue and then the operators are so confused that they make elementary mistakes Yesterday for example I wanted to ask something about a voucher and I had so many unrelated questions that 2 girls couldnt answer me until they called Sadha I didnt mind a little more trainings but I still prefer Bog to other banks By calling the hotline and emailing several employees everything will be solved in the sky Thank you very much to Thea Odisharia you have very attentive employees 3
4710912772300205_4711329762258506,2,Tell us where this beauty is
4701304646594351_4701624896562326,1,good luck Please wait
4677476028977213_4683983541659795,28,What a rich country we have and how poor we are
4677476028977213_4684175284973954,1,Amazing beauty corner
4677476028977213_4684764308248385,0,The Switzerland of Georgia mountains lakes the pearl of our country
4677476028977213_4684149221643227,0,Who knows who they sold it to for 1 GEL It will appear soon
413856758672516_413865435338315,0,I would probably have at least 4 children by now 
413856758672516_413888325336026,0,I would have 8 cells left before I die so I would try to see a lot of beauty in the world if not in my surroundings I would paint a lot of positive things and give them as gifts to good people
389957894404456_389958981071014,1,Oh oh its American Express not students weve been standing in line for three days add the operators what a disaster the line started from the entrance and three operators were sitting when there were 10 seats Or give us those plastic ones in other branches too Oooooh Lets not go to the carnival
470110676346894_470422269649068,0,Ill check how much you are on the side of the people its interesting
398496733541852_398497210208471,1,I would try to earn another million
398496733541852_398497290208463,0,I would open a deposit in the Bank of Georgia D
398496733541852_398497483541777,2,I would not touch the Bank of Georgia DDDD
398496733541852_398514380206754,0,A million is good but where is it I dont have a million and I have a debt of 3000 GEL so they will pay me
321714381251262_321714857917881,2,Congratulations to the Bank of Georgia for many good deeds Be happy and good luck
390483137676545_390484517676407,0,I am in the mood to raise the euro
389122137812645_389123261145866,2,This is why I love the Bank of Georgia and I never make mistakes
386126788112180_386276434763882,0,Its a very good project but there is one drawback children under 6 must eat separately but children aged 15 16 and 17 already have thousands of friends on Facebook and the number of votes will increase To the winners with heart and soul
382961221762070_382975318427327,1,Why couldnt people log in to vote on the application in the last few minutes
382961221762070_382989225092603,0,Nata is my neighbor and I have a lot of fun with him and I hate him
382961221762070_383016355089890,1,And those who dont like Alligator can even not watch anything secularly and refrain from comments my dear  Wow Im sorry  
354309874636475_354313604636102,0,And that the surgery was done its really cool and Im glad
379583658765560_4711259668931249,0,Tamar if you want to contact us you can send us a private message or call us at 032 2 444 444 
377567372301455_377605758964283,1, C h a r t v e l o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o o
5548915838499890_1125887768347557,0,We got on our nerves
5548767395181401_1261289007975004,0,McFadden is fired
5548744048517069_1061230947868868,0,What channel are you watching
4675487305842752_4678079162250233,0,Good luck David you are doing a good job and you will be appreciated you will surely have several Olympic champions
4667921996599283_4668662439858572,5,Really the best Progress and success to the Bank of Georgia and each of its employees
4657994770925339_4669857369739079,0,The service girls of Akhmet Bank of Georgia also deserve to be thanked for your attention
4645536518837831_4651116264946523,0,All the best
4645536518837831_4652298304828319,0,Good luck You are proud and you will make me proud
4638721622852654_4640107316047418,12,You will find balance in life when you realize that sometimes inactivity will lead you to the right place rather than movement And besides bad and good are only individual characteristics If people follow this they are Magitoma in Zekaos not in balance
4638721622852654_4641239335934216,1,Every action is equal to the reaction 
4638721622852654_5147435855314559,0,What does this have to do with God
4638721622852654_4651328384925311,0,Most of us Kartu people are like that we go to work at 12 oclock in the morning and then we go to work
4638721622852654_4649221745135975,0,This looks like a cool aperitif type
4631863953538421_4638891669502316,0,What a beauty
4631863953538421_4638731756184974,0,How did it happen that the Nazis didnt sell it Maybe we should declare it a protected area
4631693696888780_4633027270088756,0,A child is also a rider
404337572943650_4360736547303713,0,Basically in a private message provide us with a screenshot of what you see when you try to log in and we will try to help you accordingly
369424726449053_369425496448976,0,England itself
369185679806291_369190609805798,0,The man got hope maybe even a chance for a new life and his hard work was not appreciated 
369107406480785_369112083146984,0,Here there will be a competition here you will reveal the 3rd final
360554370669422_360557570669102,1,Yes what a change YuzaaaaDDD
184400128349212_184403925015499,1,Bank of Georgia is cool 
358300420894817_358301000894759,1,Do you offer us something 
108762479260028_112197152249894,1,Childrens room
261275133968383_261292533966643,0,Its good only when you meet the main barriers How much is the amount
261275133968383_261314047297825,0,Wow you guys are really cool If you were to leave a comment where did it disappear  You wrote something completely different there
341903879201138_341915179200008,0,four stand up 
4622693767788773_4625805974144219,0,We dont have an owner
4622693767788773_4623432441048239,1,What an amazing country we have
4616969785027838_4619910564733760,1,Why are pharmacists lazy to give pluses to the producer
4613557465369070_4616449741746509,26,In case youre really curious humans are a hybrid race created by scientists from three different planets 2000000 years ago There were no thinking beings on earth at that time There were creatures like todays chimpanzees By the way they used their DNA on the base of primates like this chimpanzee They wanted to create the last human version for a long time because many hybrids did not turn out well And then the first people were very tall 3 5 8 meters tall We Georgians are a very old race an ancient nation just like Armenians and IndoEuropeans And in general if we existed there would not even be a shadow of Slavs and in general Russians
4610028539055296_4617463121645171,0,Congratulations  Good luck Lika
4600883463303137_4602631536461663,2,It is an amazing house
4588465567878260_4589230434468440,0,Added to Tatchlisit
4588465567878260_4591229454268538,1,It was very interesting
4588465567878260_4590908424300641,0,A postponed matter is postponed you should never postpone anything but sometimes it happens that something is postponed willingly or unwillingly  However asking a person and saying that you love him does not need to be postponed 
